,County Code,District Code,School Code,StudentGrowth,Expectations,LowGrowth,TypicalGrowth,HighGrowth
544,3,300,80,Math,Did Not Yet Meet,1,0,0
545,3,300,80,Math,Partially Met,6,5,7
546,3,300,80,Math,Approached,6,13,12
547,3,300,80,Math,Met,10,16,14
548,3,300,80,Math,Exceeded,4,1,2
549,3,440,20,ELA,Did Not Yet Meet,1,4,1
550,3,440,20,ELA,Partially Met,4,1,8
551,3,440,20,ELA,Approached,3,13,9
552,3,440,20,ELA,Met,14,6,18
553,3,440,20,ELA,Exceeded,1,5,10
554,3,440,30,ELA,Did Not Yet Meet,2,1,5
555,3,440,30,ELA,Partially Met,3,3,7
556,3,440,30,ELA,Approached,1,8,17
557,3,440,30,ELA,Met,3,16,28
558,3,440,30,ELA,Exceeded,1,3,2
559,3,440,30,Math,Did Not Yet Meet,1,0,2
560,3,440,30,Math,Partially Met,3,5,5
561,3,440,30,Math,Approached,3,6,16
562,3,440,30,Math,Met,7,15,24
563,3,440,30,Math,Exceeded,3,4,8
564,3,440,50,ELA,Did Not Yet Meet,2,2,2
565,3,440,50,ELA,Partially Met,6,5,6
566,3,440,50,ELA,Approached,6,7,13
567,3,440,50,ELA,Met,14,14,16
